Date,Ticker,Name,Country,Open,High,Low,Close,Volume
2020-01-02,^GSPC,S&P 500,USA,3253.72,3273.69,3246.84,3257.24,4822648260.0
2020-01-03,^GSPC,S&P 500,USA,3239.28,3252.04,3225.58,3240.28,1029870737.0
2020-01-06,^GSPC,S&P 500,USA,3248.26,3258.6,3228.45,3248.66,2348229578.0
2020-01-07,^GSPC,S&P 500,USA,3309.91,3325.17,3283.47,3299.25,1967875158.0
2020-01-08,^GSPC,S&P 500,USA,3272.56,3289.08,3258.6,3267.77,2733494351.0
2020-01-09,^GSPC,S&P 500,USA,3315.07,3324.51,3302.5,3315.81,
2020-01-10,^GSPC,S&P 500,USA,3311.83,3329.94,3305.91,3307.92,4589362282.0
2020-01-13,^GSPC,S&P 500,USA,3351.1,3356.65,3348.87,3354.74,3635496399.0
2020-01-14,^GSPC,S&P 500,USA,3363.96,3401.02,3345.37,3366.18,2246584877.0
2020-01-15,^GSPC,S&P 500,USA,3377.8,3394.26,3360.92,3380.28,1115165955.0
2020-01-16,^GSPC,S&P 500,USA,3362.49,3380.14,3342.68,3371.64,3961174815.0
2020-01-17,^GSPC,S&P 500,USA,3346.01,3356.38,3314.17,3334.13,2862794492.0
2020-01-20,^GSPC,S&P 500,USA,3383.41,3397.6,3357.83,3371.39,4978939928.0
2020-01-21,^GSPC,S&P 500,USA,3371.02,3379.64,3351.96,3370.22,1231000548.0
2020-01-22,^GSPC,S&P 500,USA,3365.04,3390.99,3360.8,3375.49,3904760950.0
2020-01-23,^GSPC,S&P 500,USA,3382.66,3387.43,3354.79,3373.64,3442585523.0
2020-01-24,^GSPC,S&P 500,USA,3406.13,3429.36,3382.88,3397.01,1487441443.0
2020-01-27,^GSPC,S&P 500,USA,3368.1,3386.78,3355.39,3367.47,1145691293.0
2020-01-28,^GSPC,S&P 500,USA,3395.65,3424.53,3378.24,3386.45,1904485263.0
2020-01-29,^GSPC,S&P 500,USA,3396.29,3404.2,3375.58,3386.83,3991835092.0
2020-01-30,^GSPC,S&P 500,USA,3377.25,3379.82,3358.21,3370.93,1767746338.0
